club,name,age,position,club_involved,fee,transfer_movement,fee_cleaned,league,year
Boavista Porto FC,Rui GomesRui Gomes,20,Attacking Midfield,Espinho,?,out,NA,primeira-liga,2007
Boavista Porto FC,Milos BosancicM. Bosancic,19,Attacking Midfield,Partizan,"End of loanNov 1, 2007",out,0,primeira-liga,2007
Boavista Porto FC,Khadim FayéK. Fayé,36,Goalkeeper,Retired,-,out,0,primeira-liga,2007
Boavista Porto FC,Ricardo SousaRicardo Sousa,28,Attacking Midfield,Hannover 96,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Boavista Porto FC,Przemyslaw KazmierczakP. Kazmierczak,25,Defensive Midfield,Pogon Szczecin,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Boavista Porto FC,Rafal GrzelakR. Grzelak,25,Attacking Midfield,Pogon Szczecin,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CS Marítimo,João GuilhermeJoão Guilherme,21,Centre-Back,Internacional,£126k,in,0.126,primeira-liga,2007
CS Marítimo,Antoine van der LindenA. van der Linden,31,Centre-Back,FC Groningen,Free Transfer,in,0,primeira-liga,2007
CS Marítimo,Anderson GomesAnderson Gomes,22,Right Winger,Coritiba FC,Free Transfer,in,0,primeira-liga,2007
CS Marítimo,Bruno FogaçaB. Fogaça,25,Centre-Forward,Skoda Xanthi,Free Transfer,in,0,primeira-liga,2007
CS Marítimo,Ariza MakukulaA. Makukula,26,Centre-Forward,Sevilla FC,Loan,in,0,primeira-liga,2007
CS Marítimo,Bruno FernandesB. Fernandes,33,Central Midfield,Nacional,Free Transfer,in,0,primeira-liga,2007
CS Marítimo,Márcio MossoróMárcio Mossoró,24,Attacking Midfield,Internacional,Loan,in,0,primeira-liga,2007
CS Marítimo,André PintoAndré Pinto,29,Centre-Forward,Kyoto Sanga,?,in,NA,primeira-liga,2007
CS Marítimo,Edder PérezE. Pérez,23,Left-Back,Caracas FC,?,in,NA,primeira-liga,2007
CS Marítimo,EdiglêEdiglê,29,Centre-Back,Internacional,Loan,in,0,primeira-liga,2007
CS Marítimo,Ricardo EstevesR. Esteves,27,Right Midfield,Reggina,?,in,NA,primeira-liga,2007
CS Marítimo,AdrianoAdriano,28,Defensive Midfield,Paraná,?,in,NA,primeira-liga,2007
CS Marítimo,Fábio FelicioF. Felicio,25,Central Midfield,Rubin Kazan,Loan,in,0,primeira-liga,2007
CS Marítimo,Marcelo BoeckM. Boeck,22,Goalkeeper,Internacional,?,in,NA,primeira-liga,2007
CS Marítimo,BalúBalú,22,Defensive Midfield,Marítimo B,-,in,0,primeira-liga,2007
CS Marítimo,João LuizJoão Luiz,22,Defensive Midfield,Marítimo U19,-,in,0,primeira-liga,2007
CS Marítimo,DjalmaDjalma,20,Right Winger,Marítimo B,-,in,0,primeira-liga,2007
CS Marítimo,Nilson SergipanoNilson Sergipano,27,Centre-Forward,Coruripe,"End of loanNov 1, 2007",in,0,primeira-liga,2007
CS Marítimo,Bruno GrassiB. Grassi,20,Goalkeeper,Internacional,,in,NA,primeira-liga,2007
CS Marítimo,FahelFahel,25,Defensive Midfield,Paços Ferreira,"End of loanJun 30, 2007",in,0,primeira-liga,2007
CS Marítimo,Martin PrestMartin Prest,28,Centre-Forward,Burgos CF,Free Transfer,out,0,primeira-liga,2007
CS Marítimo,FahelFahel,25,Defensive Midfield,Beira-Mar,Free Transfer,out,0,primeira-liga,2007
CS Marítimo,FábioFábio,29,Goalkeeper,Guaratinguetá,Free Transfer,out,0,primeira-liga,2007
CS Marítimo,Álex von SchwedlerÁ. von Schwedler,27,Centre-Back,Alki Larnaca,Free Transfer,out,0,primeira-liga,2007
CS Marítimo,Filipe OliveiraF. Oliveira,23,Right Winger,Leixões,Free Transfer,out,0,primeira-liga,2007
CS Marítimo,Darl DouglasD. Douglas,27,Right Winger,Willem II,Free Transfer,out,0,primeira-liga,2007
CS Marítimo,Cédric MoukouriC. Moukouri,28,Centre-Forward,Trofense,Loan,out,0,primeira-liga,2007
CS Marítimo,Marcelo LipatínM. Lipatín,30,Centre-Forward,Nacional,Free Transfer,out,0,primeira-liga,2007
CS Marítimo,Arvid SmitA. Smit,27,Central Midfield,Leiria,Loan,out,0,primeira-liga,2007
CS Marítimo,Nilson SergipanoNilson Sergipano,27,Centre-Forward,AS Confiança-SE,Loan,out,0,primeira-liga,2007
CS Marítimo,Pedro FernandesPedro Fernandes,22,Goalkeeper,UD Salamanca,?,out,NA,primeira-liga,2007
CS Marítimo,Sergio Pires LopesS. Pires Lopes,22,Midfielder,Torreense,?,out,NA,primeira-liga,2007
CS Marítimo,Zé GomesZé Gomes,31,Right-Back,Konyaspor,Loan,out,0,primeira-liga,2007
CS Marítimo,Milton do ÓMilton do Ó,28,Centre-Back,Trofense,?,out,NA,primeira-liga,2007
CS Marítimo,TiquinhoTiquinho,21,Right Winger,AEL Limassol,?,out,NA,primeira-liga,2007
CS Marítimo,Ariza MakukulaA. Makukula,26,Centre-Forward,Sevilla FC,"End of loanDec 31, 2007",out,0,primeira-liga,2007
CS Marítimo,Diogo ValenteD. Valente,22,Left Winger,FC Porto,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CS Marítimo,Collins MbesumaC. Mbesuma,23,Centre-Forward,Portsmouth,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Naval 1º de Maio,MarcelinhoMarcelinho,22,Centre-Forward,Avaí FC,£342k,in,0.342,primeira-liga,2007
Naval 1º de Maio,MarinhoMarinho,24,Right Winger,Fátima,£90k,in,0.09,primeira-liga,2007
Naval 1º de Maio,Diego ÂngeloDiego Ângelo,21,Centre-Back,Ituano,Free Transfer,in,0,primeira-liga,2007
Naval 1º de Maio,Tiago FreitasTiago Freitas,26,Forward,CRB,Free Transfer,in,0,primeira-liga,2007
Naval 1º de Maio,EanesEanes,26,Midfielder,Coritiba FC,Free Transfer,in,0,primeira-liga,2007
Naval 1º de Maio,Nicolas GodemecheN. Godemeche,23,Central Midfield,Montpellier,Free Transfer,in,0,primeira-liga,2007
Naval 1º de Maio,DaniDani,33,Goalkeeper,Algeciras CF,Free Transfer,in,0,primeira-liga,2007
Naval 1º de Maio,WandeirWandeir,27,Second Striker,Vardar,Free Transfer,in,0,primeira-liga,2007
Naval 1º de Maio,Davide DiasD. Dias,24,Right Winger,Braga,Free Transfer,in,0,primeira-liga,2007
Naval 1º de Maio,Bruno CazarineBruno Cazarine,24,Centre-Forward,Terrassa FC,Free Transfer,in,0,primeira-liga,2007
Naval 1º de Maio,Fabricio LopesFabricio Lopes,23,Centre-Back,Al-Ain FC,Free Transfer,in,0,primeira-liga,2007
Naval 1º de Maio,Hugo SantosHugo Santos,24,Left Winger,Operário,?,in,NA,primeira-liga,2007
Naval 1º de Maio,FelipeFelipe,22,Central Midfield,Palmeiras,?,in,NA,primeira-liga,2007
Naval 1º de Maio,Igor RochaIgor Rocha,23,Left-Back,Boavista,?,in,NA,primeira-liga,2007
Naval 1º de Maio,Bruno LazaroniB. Lazaroni,26,Central Midfield,Vasco da Gama,?,in,NA,primeira-liga,2007
Naval 1º de Maio,CaféCafé,22,Goalkeeper,Coritiba FC,?,in,NA,primeira-liga,2007
Naval 1º de Maio,Wilson JúniorWilson Júnior,30,Goalkeeper,Without Club,-,in,0,primeira-liga,2007
Naval 1º de Maio,João MendesJoão Mendes,20,Defensive Midfield,FC Pampilhosa,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Naval 1º de Maio,Miguel AfonsoM. Afonso,22,Centre-Back,Mirandense,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Naval 1º de Maio,BanjaiBanjai,25,Centre-Back,Covilhã,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Naval 1º de Maio,NeiNei,27,Centre-Forward,CSKA Sofia,£675k,out,0.675,primeira-liga,2007
Naval 1º de Maio,OrestesOrestes,26,Centre-Back,Hansa Rostock,£225k,out,0.225,primeira-liga,2007
Naval 1º de Maio,PimentaPimenta,21,Left Winger,Portimonense,Loan,out,0,primeira-liga,2007
Naval 1º de Maio,LitoLito,32,Right Winger,Coimbra,Free Transfer,out,0,primeira-liga,2007
Naval 1º de Maio,André MartinsA. Martins,20,Centre-Forward,Fulham U23,Free Transfer,out,0,primeira-liga,2007
Naval 1º de Maio,FajardoFajardo,28,Attacking Midfield,Vit. Guimarães,Free Transfer,out,0,primeira-liga,2007
Naval 1º de Maio,TonyTony,23,Defensive Midfield,Beira-Mar,Free Transfer,out,0,primeira-liga,2007
Naval 1º de Maio,FernandoFernando,33,Centre-Back,Beira-Mar,Loan,out,0,primeira-liga,2007
Naval 1º de Maio,ValdirValdir,23,Left-Back,Paços Ferreira,Free Transfer,out,0,primeira-liga,2007
Naval 1º de Maio,BanjaiBanjai,26,Centre-Back,Louletano,Loan,out,0,primeira-liga,2007
Naval 1º de Maio,GlauberGlauber,32,Defensive Midfield,Santa Clara,Free Transfer,out,0,primeira-liga,2007
Naval 1º de Maio,Bruno CazarineBruno Cazarine,24,Centre-Forward,Bragantino,Free Transfer,out,0,primeira-liga,2007
Naval 1º de Maio,OsvaldoOsvaldo,23,Centre-Forward,Portimonense,Free Transfer,out,0,primeira-liga,2007
Naval 1º de Maio,SolimarSolimar,32,Attacking Midfield,Portimonense,Loan,out,0,primeira-liga,2007
Naval 1º de Maio,WandeirWandeir,27,Second Striker,Pandurii T.-Jiu,Loan,out,0,primeira-liga,2007
Naval 1º de Maio,Miguel AfonsoM. Afonso,22,Centre-Back,Anadia,?,out,NA,primeira-liga,2007
Naval 1º de Maio,FelipeFelipe,22,Central Midfield,Louletano,?,out,NA,primeira-liga,2007
Naval 1º de Maio,João MendesJoão Mendes,20,Defensive Midfield,GD Tourizense,Loan,out,0,primeira-liga,2007
Naval 1º de Maio,Wilson JúniorWilson Júnior,30,Goalkeeper,Without Club,-,out,0,primeira-liga,2007
Naval 1º de Maio,Pedro SantosP. Santos,31,Central Midfield,Without Club,-,out,0,primeira-liga,2007
Naval 1º de Maio,Tiago FragaT. Fraga,26,Attacking Midfield,Without Club,-,out,0,primeira-liga,2007
Académica Coimbra,CléberCléber,25,Left-Back,Marília,Free Transfer,in,0,primeira-liga,2007
Académica Coimbra,OrlandoOrlando,27,Centre-Back,Freamunde,Free Transfer,in,0,primeira-liga,2007
Académica Coimbra,LitoLito,32,Right Winger,Naval,Free Transfer,in,0,primeira-liga,2007
Académica Coimbra,LicáLicá,18,Left Winger,GDRC Social Lamas,Free Transfer,in,0,primeira-liga,2007
Académica Coimbra,AguinaldoAguinaldo,18,Centre-Forward,Alta de Lisboa,Free Transfer,in,0,primeira-liga,2007
Académica Coimbra,Markus BergerM. Berger,22,Centre-Back,SV  Ried,Free Transfer,in,0,primeira-liga,2007
Académica Coimbra,Pedro CostaP. Costa,25,Right-Back,Braga,Free Transfer,in,0,primeira-liga,2007
Académica Coimbra,CrisCris,23,Defensive Midfield,Feirense,?,in,NA,primeira-liga,2007
Académica Coimbra,Pablo CastroP. Castro,21,Left-Back,Bella Vista,Loan,in,0,primeira-liga,2007
Académica Coimbra,Milos PavlovicM. Pavlovic,23,Defensive Midfield,Vozdovac,?,in,NA,primeira-liga,2007
Académica Coimbra,Horacio PeraltaH. Peralta,25,Centre-Forward,Nacional,?,in,NA,primeira-liga,2007
Académica Coimbra,IrineuIrineu,24,Centre-Back,Cruzeiro,Loan,in,0,primeira-liga,2007
Académica Coimbra,Patrick VouhoP. Vouho,20,Centre-Forward,Sabé,?,in,NA,primeira-liga,2007
Académica Coimbra,Luis AguiarL. Aguiar,22,Central Midfield,FC Porto,Loan,in,0,primeira-liga,2007
Académica Coimbra,Ricardo NunesR. Nunes,24,Goalkeeper,Varzim,?,in,NA,primeira-liga,2007
Académica Coimbra,William Kwabena TieroW. Tiero,26,Attacking Midfield,Liberty Prof.,?,in,NA,primeira-liga,2007
Académica Coimbra,Edgar SilvaEdgar Silva,20,Centre-Forward,FC Porto,Loan,in,0,primeira-liga,2007
Académica Coimbra,PedrinhoPedrinho,22,Right-Back,Varzim,?,in,NA,primeira-liga,2007
Académica Coimbra,Gaoussou FofanaG. Fofana,23,Right Winger,Sabé,?,in,NA,primeira-liga,2007
Académica Coimbra,IvanildoIvanildo,21,Right Winger,FC Porto,Loan,in,0,primeira-liga,2007
Académica Coimbra,Rui NereuRui Nereu,21,Goalkeeper,Benfica,?,in,NA,primeira-liga,2007
Académica Coimbra,Pedro RibeiroP. Ribeiro,19,Centre-Forward,Académica U19,-,in,0,primeira-liga,2007
Académica Coimbra,PedrinhoPedrinho,22,Right-Back,Varzim,"End of loanDec 31, 2007",in,0,primeira-liga,2007
Académica Coimbra,CristianoCristiano,18,Central Midfield,Académica U19,-,in,0,primeira-liga,2007
Académica Coimbra,Fausto LourençoF. Lourenço,20,Left Winger,GD Tourizense,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Académica Coimbra,Ousmane N'DoyeO. N'Doye,29,Defensive Midfield,Al-Ettifaq,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Académica Coimbra,Filipe TeixeiraF. Teixeira,26,Right Winger,West Brom,£810k,out,0.81,primeira-liga,2007
Académica Coimbra,Dame N'DoyeD. N'Doye,22,Centre-Forward,Panathinaikos,£720k,out,0.72,primeira-liga,2007
Académica Coimbra,Ousmane N'DoyeO. N'Doye,29,Defensive Midfield,FC Vaslui,£450k,out,0.45,primeira-liga,2007
Académica Coimbra,Nuno LuísNuno Luís,32,Right-Back,Omonia Nikosia,Free Transfer,out,0,primeira-liga,2007
Académica Coimbra,Néstor ÁlvarezN. Álvarez,27,Centre-Forward,UA Maracaibo,Free Transfer,out,0,primeira-liga,2007
Académica Coimbra,Danilo MoreiraDanilo Moreira,26,Centre-Back,Juventude,Free Transfer,out,0,primeira-liga,2007
Académica Coimbra,LinoLino,30,Left-Back,FC Porto,Free Transfer,out,0,primeira-liga,2007
Académica Coimbra,MedeirosMedeiros,30,Centre-Back,Omonia Nikosia,Free Transfer,out,0,primeira-liga,2007
Académica Coimbra,PedrinhoPedrinho,22,Right-Back,Varzim,Loan,out,0,primeira-liga,2007
Académica Coimbra,HéldonHéldon,18,Left Winger,Caniçal,Free Transfer,out,0,primeira-liga,2007
Académica Coimbra,Fausto LourençoF. Lourenço,20,Left Winger,Anadia,Loan,out,0,primeira-liga,2007
Académica Coimbra,DouglasDouglas,27,Goalkeeper,Galo Maringá,Free Transfer,out,0,primeira-liga,2007
Académica Coimbra,EduardoEduardo,28,Goalkeeper,GD Tourizense,Free Transfer,out,0,primeira-liga,2007
Académica Coimbra,LiraLira,24,Left-Back,Hapoel Kfar Saba,Free Transfer,out,0,primeira-liga,2007
Académica Coimbra,SarmentoSarmento,22,Right-Back,Varzim,Loan,out,0,primeira-liga,2007
Académica Coimbra,Sílvio Gomes NunesS. Gomes Nunes,24,Centre-Forward,GD Tourizense,?,out,NA,primeira-liga,2007
Académica Coimbra,Szabolcs GyánóS. Gyánó,27,Centre-Forward,Beira-Mar,Loan,out,0,primeira-liga,2007
Académica Coimbra,Pedro RibeiroP. Ribeiro,19,Centre-Forward,GD Tourizense,Loan,out,0,primeira-liga,2007
Académica Coimbra,Roberto BrumRoberto Brum,28,Defensive Midfield,Braga,?,out,NA,primeira-liga,2007
Académica Coimbra,Patrick VouhoP. Vouho,20,Centre-Forward,Portimonense,Loan,out,0,primeira-liga,2007
Académica Coimbra,Horacio PeraltaH. Peralta,25,Centre-Forward,Bella Vista,?,out,NA,primeira-liga,2007
Académica Coimbra,Pablo CastroP. Castro,21,Left-Back,Bella Vista,"End of loanNov 1, 2007",out,0,primeira-liga,2007
Académica Coimbra,Hélder BarbosaH. Barbosa,20,Left Winger,FC Porto,"End of loanDec 31, 2007",out,0,primeira-liga,2007
Académica Coimbra,Luis AguiarL. Aguiar,22,Central Midfield,FC Porto,"End of loanMay 1, 2008",out,0,primeira-liga,2007
Académica Coimbra,LitosLitos,33,Centre-Back,Retired,-,out,0,primeira-liga,2007
Académica Coimbra,GélsonGélson,28,Centre-Forward,Without Club,-,out,0,primeira-liga,2007
Académica Coimbra,Cláudio PitbullCláudio Pitbull,25,Centre-Forward,FC Porto,"End of loanJun 1, 2007",out,0,primeira-liga,2007
Académica Coimbra,Milos PavlovicM. Pavlovic,23,Defensive Midfield,Vozdovac,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Académica Coimbra,Fatih SonkayaF. Sonkaya,25,Right-Back,FC Porto,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Académica Coimbra,Alexandre RotweillerAlexandre Rotweiller,28,Defensive Midfield,Corinthians,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Vitória Setúbal FC,EliasElias,25,Defensive Midfield,Paços Ferreira,Free Transfer,in,0,primeira-liga,2007
Vitória Setúbal FC,Leandro BrancoL. Branco,24,Right Winger,GE Juventus-SC,Free Transfer,in,0,primeira-liga,2007
Vitória Setúbal FC,JorginhoJorginho,29,Left-Back,Estoril,Free Transfer,in,0,primeira-liga,2007
Vitória Setúbal FC,EdinhoEdinho,24,Centre-Forward,Gil Vicente,Free Transfer,in,0,primeira-liga,2007
Vitória Setúbal FC,Léo BonfimLéo Bonfim,24,Centre-Back,Ceará SC,Free Transfer,in,0,primeira-liga,2007
Vitória Setúbal FC,EduardoEduardo,24,Goalkeeper,Braga,Loan,in,0,primeira-liga,2007
Vitória Setúbal FC,Léo MacaéLéo Macaé,24,Centre-Forward,Corinthians,Free Transfer,in,0,primeira-liga,2007
Vitória Setúbal FC,Ricardo ChavesR. Chaves,29,Defensive Midfield,Braga,Free Transfer,in,0,primeira-liga,2007
Vitória Setúbal FC,Bruno GamaB. Gama,19,Right Winger,FC Porto,Loan,in,0,primeira-liga,2007
Vitória Setúbal FC,Filipe GonçalvesF. Gonçalves,22,Defensive Midfield,Braga,Loan,in,0,primeira-liga,2007
Vitória Setúbal FC,Cláudio PitbullCláudio Pitbull,25,Centre-Forward,FC Porto,Loan,in,0,primeira-liga,2007
Vitória Setúbal FC,PaulinhoPaulinho,23,Right-Back,EC Bahia,?,in,NA,primeira-liga,2007
Vitória Setúbal FC,Bruno SeverinoB. Severino,21,Right Winger,Gondomar,?,in,NA,primeira-liga,2007
Vitória Setúbal FC,RobsonRobson,23,Centre-Back,Gondomar,?,in,NA,primeira-liga,2007
Vitória Setúbal FC,MatheusMatheus,24,Right Winger,Braga,Loan,in,0,primeira-liga,2007
Vitória Setúbal FC,CostinhaCostinha,21,Attacking Midfield,Setúbal B,-,in,0,primeira-liga,2007
Vitória Setúbal FC,Steve AntunesS. Antunes,16,Central Midfield,Team BEJUNE U18,-,in,0,primeira-liga,2007
Vitória Setúbal FC,PortelaPortela,19,Right-Back,Setúbal U19,-,in,0,primeira-liga,2007
Vitória Setúbal FC,Mário CarlosMário Carlos,24,Right Winger,Zamora CF,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Vitória Setúbal FC,EdinhoEdinho,25,Centre-Forward,AEK Athens,Loan fee:£135k,out,0.135,primeira-liga,2007
Vitória Setúbal FC,Victor SilvaVictor Silva,21,Goalkeeper,Foolad,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,Julien FernandesJ. Fernandes,22,Central Midfield,Montañeros CF,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,Nélson VeríssimoN. Veríssimo,30,Centre-Back,Fátima,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,Kevin Onyekachi AmunekeK. Amuneke,21,Centre-Forward,CSKA Sofia,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,CostinhaCostinha,21,Attacking Midfield,Rio Maior,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,NandinhoNandinho,31,Left-Back,Alki Larnaca,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,BinhoBinho,29,Defensive Midfield,Iraklis,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,Émile MbambaÉ. Mbamba,24,Forward,Arema FC,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,Léo MacaéLéo Macaé,24,Centre-Forward,Coruripe,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,João MeiraJ. Meira,20,Centre-Back,Cova Piedade,Free Transfer,out,0,primeira-liga,2007
Vitória Setúbal FC,InzaghiInzaghi,22,Centre-Forward,Chaves,?,out,NA,primeira-liga,2007
Vitória Setúbal FC,RussianoRussiano,22,Left-Back,Gela,?,out,NA,primeira-liga,2007
Vitória Setúbal FC,Mamadou N'DiayeM. N'Diaye,23,Centre-Back,Portimonense,?,out,NA,primeira-liga,2007
Vitória Setúbal FC,FlávioFlávio,25,Centre-Back,Leça,?,out,NA,primeira-liga,2007
Vitória Setúbal FC,AdemarAdemar,22,Attacking Midfield,PFC Vihren,?,out,NA,primeira-liga,2007
Vitória Setúbal FC,Mário CarlosMário Carlos,24,Right Winger,Alki Larnaca,Loan,out,0,primeira-liga,2007
Vitória Setúbal FC,Cesar La PagliaCesar La Paglia,28,Attacking Midfield,Indep. Medellín,?,out,NA,primeira-liga,2007
Vitória Setúbal FC,MadiorMadior,24,Centre-Back,Without Club,-,out,0,primeira-liga,2007
Vitória Setúbal FC,MatheusMatheus,24,Right Winger,Braga,"End of loanDec 31, 2007",out,0,primeira-liga,2007
Vitória Setúbal FC,Kwame AyewK. Ayew,33,Centre-Forward,Retired,-,out,0,primeira-liga,2007
Vitória Setúbal FC,André BarretoAndré Barreto,27,Midfielder,Wisla Kraków,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Vitória Setúbal FC,Silvestre VarelaS. Varela,22,Left Winger,Sporting CP,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Vitória Setúbal FC,Marcelo LabartheM. Labarthe,22,Defensive Midfield,Sporting CP,"End of loanJun 30, 2007",out,0,primeira-liga,2007
FC Porto,Cristian RodríguezC. Rodríguez,22,Left Midfield,Paris SG,£6.30m,in,6.3,primeira-liga,2008
FC Porto,PeléPelé,20,Central Midfield,Inter,£5.40m,in,5.4,primeira-liga,2008
FC Porto,HulkHulk,22,Right Winger,Tokyo Verdy,£4.95m,in,4.95,primeira-liga,2008
FC Porto,Cristian SapunaruC. Sapunaru,24,Centre-Back,Rapid Bucharest,£4.50m,in,4.5,primeira-liga,2008
FC Porto,Mariano GonzálezM. González,27,Right Midfield,US Palermo,£2.88m,in,2.88,primeira-liga,2008
FC Porto,Tomás CostaT. Costa,23,Defensive Midfield,CA Rosario,£2.88m,in,2.88,primeira-liga,2008
FC Porto,Fredy GuarínF. Guarín,22,Central Midfield,Saint-Étienne,£900k,in,0.9,primeira-liga,2008
FC Porto,Nelson BenítezN. Benítez,24,Left-Back,Lanús,£900k,in,0.9,primeira-liga,2008
FC Porto,RolandoRolando,22,Centre-Back,Belenenses,£855k,in,0.855,primeira-liga,2008
FC Porto,Aly CissokhoA. Cissokho,21,Left-Back,Vitória Setúbal,£270k,in,0.27,primeira-liga,2008
FC Porto,Pedro MoreiraP. Moreira,19,Central Midfield,Boavista,?,in,NA,primeira-liga,2008
FC Porto,Andrés MadridA. Madrid,27,Defensive Midfield,Braga,Loan,in,0,primeira-liga,2008
FC Porto,Maxi AsísMaxi Asís,21,Second Striker,Boca Juniors II,Loan,in,0,primeira-liga,2008
FC Porto,Federico ScoppaF. Scoppa,20,Defensive Midfield,Boca Juniors II,Loan,in,0,primeira-liga,2008
FC Porto,André PintoA. Pinto,18,Centre-Back,FC Porto U19,-,in,0,primeira-liga,2008
FC Porto,BuraBura,19,Centre-Back,Portimonense,"End of loanDec 1, 2008",in,0,primeira-liga,2008
FC Porto,Diogo VianaDiogo Viana,19,Right Midfield,FC Porto U19,-,in,0,primeira-liga,2008
FC Porto,Edson HenriqueEdson Henrique,21,Centre-Back,Coimbra,"End of loanDec 31, 2008",in,0,primeira-liga,2008
FC Porto,LeandroLeandro,29,Left-Back,Fluminense,"End of loanApr 1, 2009",in,0,primeira-liga,2008
FC Porto,LeandroLeandro,29,Left-Back,Palmeiras,"End of loanDec 1, 2008",in,0,primeira-liga,2008
FC Porto,Jorge MonteiroJorge Monteiro,20,Right Winger,Estrela Amadora,"End of loanDec 1, 2008",in,0,primeira-liga,2008
