club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Nantes,Marc Boucher,21,Right-Back,Retired,-,out,Summer,0,Ligue 1,2004,2004/2005
FC Nantes,Gilles Yapi,22,Defensive Midfield,KSK Beveren,"End of loanJun 30, 2004",out,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Péguy Luyindula,25,Centre-Forward,Olympique Lyon,£9.00m,in,Summer,9,Ligue 1,2004,2004/2005
Olympique Marseille,Eduardo Costa,21,Defensive Midfield,G. Bordeaux,£5.40m,in,Summer,5.4,Ligue 1,2004,2004/2005
Olympique Marseille,Benoît Pedretti,23,Defensive Midfield,FC Sochaux,£4.50m,in,Summer,4.5,Ligue 1,2004,2004/2005
Olympique Marseille,Habib Bamogo,22,Second Striker,Montpellier,£2.70m,in,Summer,2.7,Ligue 1,2004,2004/2005
Olympique Marseille,Fabrice Fiorèse,29,Right Winger,Paris SG,£2.70m,in,Summer,2.7,Ligue 1,2004,2004/2005
Olympique Marseille,Léo Matos,18,Right-Back,Flamengo,£1.26m,in,Summer,1.26,Ligue 1,2004,2004/2005
Olympique Marseille,Leyti N'Diaye,18,Centre-Back,Louh.-Cuiseaux,£900Th.,in,Summer,0.9,Ligue 1,2004,2004/2005
Olympique Marseille,Koke,21,Centre-Forward,Málaga CF,£630Th.,in,Summer,0.63,Ligue 1,2004,2004/2005
Olympique Marseille,Frédéric Déhu,31,Centre-Back,Paris SG,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
Olympique Marseille,Bixente Lizarazu,34,Left-Back,FC Bayern,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
Olympique Marseille,Demetrius Ferreira,30,Right-Back,SC Bastia,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
Olympique Marseille,Fabien Barthez,33,Goalkeeper,Man Utd,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
Olympique Marseille,Bruno Cheyrou,26,Central Midfield,Liverpool,loan transfer,in,Summer,NA,Ligue 1,2004,2004/2005
Olympique Marseille,Ahmed Yahiaoui,17,Central Midfield,Marseille U19,-,in,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Samir Nasri,17,Attacking Midfield,Marseille U19,-,in,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Pegguy Arphexad,31,Goalkeeper,Without Club,-,in,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Fabien Laurenti,21,Right-Back,AC Ajaccio,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Vedran Runje,28,Goalkeeper,Standard Liège,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Daniel Van Buyten,26,Centre-Back,Man City,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Fernandão,26,Centre-Forward,Toulouse,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Rudi Skacel,25,Left Midfield,Panathinaikos,"End of loanMay 1, 2005",in,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Cyril Chapuis,25,Centre-Forward,R. Strasbourg,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
Olympique Marseille,Didier Drogba,26,Centre-Forward,Chelsea,£34.65m,out,Summer,34.65,Ligue 1,2004,2004/2005
Olympique Marseille,Mido,21,Centre-Forward,AS Roma,£5.40m,out,Summer,5.4,Ligue 1,2004,2004/2005
Olympique Marseille,Daniel Van Buyten,26,Centre-Back,Hamburger SV,£3.42m,out,Summer,3.42,Ligue 1,2004,2004/2005
Olympique Marseille,Vedran Runje,28,Goalkeeper,Standard Liège,£2.70m,out,Summer,2.7,Ligue 1,2004,2004/2005
Olympique Marseille,Rudi Skacel,25,Left Midfield,Panathinaikos,Loan fee:£540Th.,out,Summer,0.54,Ligue 1,2004,2004/2005
Olympique Marseille,Mathieu Flamini,20,Defensive Midfield,Arsenal,£432Th.,out,Summer,0.432,Ligue 1,2004,2004/2005
Olympique Marseille,Fernandão,26,Centre-Forward,Internacional,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
Olympique Marseille,Eduardo Tuzzio,29,Centre-Back,River Plate,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
