club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Sporting CP,André Marques,24,Left-Back,FC Sion,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Polga,33,Centre-Back,EC São José,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Mexer,23,Centre-Back,Nacional,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Alberto Rodríguez,28,Centre-Back,Rio Ave FC,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Florent Sinama-Pongolle,27,Second Striker,Rostov,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Wilson Eduardo,22,Left Winger,Coimbra,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Atila Turan,20,Left-Back,Orduspor,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Valeri Bojinov,26,Centre-Forward,Hellas Verona,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,André Santos,23,Central Midfield,Dep. La Coruña,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Amido Baldé,21,Centre-Forward,Vit. Guimarães,?,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Renato Neto,20,Defensive Midfield,Videoton FC,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Leandro Grimi,27,Left-Back,Godoy Cruz,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Evaldo,30,Left-Back,Dep. La Coruña,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,João Gonçalves,24,Right-Back,Vit. Guimarães,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Oguchi Onyewu,30,Centre-Back,Málaga CF,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Diego Rubio,19,Centre-Forward,Sporting B,-,out,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Pedro Mendes,21,Centre-Back,Sporting B,-,out,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Tiago Ferreira,37,Goalkeeper,Retired,-,out,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Celsinho,23,Attacking Midfield,Without Club,-,out,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Ricardo Batista,25,Goalkeeper,Without Club,-,out,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Sebastián Ribas,24,Centre-Forward,Genoa,"End of loanJun 30, 2012",out,Summer,0,Liga Nos,2012,2012/2013
CS Marítimo,Rúben Brígido,21,Attacking Midfield,Leiria,free transfer,in,Summer,NA,Liga Nos,2012,2012/2013
CS Marítimo,Semedo,24,Defensive Midfield,Portimonense,free transfer,in,Summer,NA,Liga Nos,2012,2012/2013
CS Marítimo,Márcio Rosário,28,Centre-Back,Náutico,free transfer,in,Summer,NA,Liga Nos,2012,2012/2013
CS Marítimo,Wellington,22,Goalkeeper,ABC FC,?,in,Summer,NA,Liga Nos,2012,2012/2013
CS Marítimo,Gegé,24,Centre-Back,SC Covilhã,?,in,Summer,NA,Liga Nos,2012,2012/2013
CS Marítimo,David Simão,22,Central Midfield,Benfica,loan transfer,in,Summer,NA,Liga Nos,2012,2012/2013
CS Marítimo,Rodrigo Antônio,24,Defensive Midfield,Belenenses,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
CS Marítimo,Balú,27,Defensive Midfield,Panthrakikos,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
CS Marítimo,Rafael Leme Amorim,24,Centre-Back,Desportivo Aves,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
CS Marítimo,Gonçalo Abreu,26,Right Winger,Atlético CP,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
CS Marítimo,Adilson,30,Centre-Forward,Estoril Praia,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
CS Marítimo,Marafona,25,Goalkeeper,Desportivo Aves,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
CS Marítimo,Roberto Sousa,27,Defensive Midfield,Persepolis,£1.35m,out,Summer,1.35,Liga Nos,2012,2012/2013
